RC2merr_AA	RC2merr_AC	RC2merr_AG	RC2merr_AT	RC2merr_CA	RC2merr_CC	RC2merr_CG	RC2merr_GA	RC2merr_GC	RC2merr_TA
0.4	0.1	0.1	0.1	0.1	0.1	0.0	0.1	0.0	0.0
0.0	0.2	0.1	0.0	0.1	0.3	0.1	0.0	0.1	0.1
0.3	0.2	0.1	0.1	0.1	0.1	0.0	0.0	0.0	0.1
0.0	0.1	0.2	0.0	0.0	0.1	0.2	0.2	0.2	0.0
0.1	0.0	0.2	0.2	0.0	0.2	0.0	0.2	0.0	0.1
0.2	0.1	0.0	0.1	0.2	0.0	0.1	0.2	0.1	0.0
0.3	0.1	0.0	0.2	0.1	0.2	0.0	0.0	0.0	0.1
0.1	0.2	0.3	0.0	0.1	0.1	0.0	0.1	0.0	0.1
0.4	0.1	0.0	0.2	0.2	0.0	0.0	0.1	0.0	0.0
0.0	0.2	0.1	0.0	0.1	0.3	0.1	0.2	0.0	0.0
0.2	0.1	0.0	0.0	0.0	0.4	0.1	0.1	0.1	0.0
0.1	0.1	0.0	0.2	0.1	0.2	0.1	0.1	0.0	0.1
0.0	0.1	0.3	0.0	0.2	0.2	0.0	0.2	0.0	0.0
0.2	0.3	0.2	0.0	0.2	0.0	0.0	0.1	0.0	0.0
0.0	0.1	0.1	0.2	0.2	0.2	0.0	0.0	0.1	0.1
0.0	0.0	0.1	0.2	0.1	0.1	0.1	0.2	0.1	0.1
0.0	0.1	0.0	0.2	0.1	0.3	0.1	0.0	0.0	0.2
0.1	0.2	0.1	0.0	0.2	0.2	0.0	0.0	0.1	0.1
0.1	0.1	0.0	0.1	0.2	0.1	0.1	0.2	0.1	0.0
0.2	0.2	0.2	0.0	0.1	0.0	0.0	0.1	0.1	0.1
0.0	0.0	0.2	0.0	0.2	0.4	0.0	0.0	0.2	0.0
0.2	0.1	0.1	0.0	0.1	0.2	0.1	0.1	0.1	0.0
0.1	0.0	0.3	0.1	0.1	0.0	0.0	0.0	0.2	0.2
0.0	0.1	0.1	0.1	0.0	0.4	0.1	0.1	0.0	0.1
0.2	0.2	0.1	0.1	0.0	0.1	0.1	0.1	0.0	0.1
0.1	0.2	0.2	0.1	0.0	0.0	0.1	0.2	0.0	0.1
0.0	0.0	0.1	0.0	0.0	0.1	0.3	0.1	0.4	0.0
0.1	0.1	0.3	0.0	0.1	0.0	0.0	0.3	0.1	0.0
0.3	0.1	0.1	0.0	0.1	0.1	0.1	0.1	0.1	0.0
0.2	0.2	0.1	0.1	0.2	0.1	0.0	0.0	0.0	0.1
0.1	0.2	0.2	0.0	0.2	0.1	0.0	0.2	0.0	0.0
0.3	0.1	0.1	0.1	0.1	0.1	0.0	0.1	0.0	0.1
0.4	0.1	0.2	0.0	0.1	0.1	0.0	0.1	0.0	0.0
0.1	0.2	0.0	0.0	0.3	0.1	0.1	0.1	0.1	0.0
0.0	0.2	0.1	0.1	0.1	0.0	0.1	0.2	0.1	0.1
0.4	0.0	0.2	0.1	0.0	0.0	0.0	0.2	0.0	0.1
0.1	0.1	0.1	0.1	0.3	0.1	0.0	0.1	0.1	0.0
0.2	0.1	0.1	0.1	0.2	0.2	0.0	0.1	0.0	0.0
0.3	0.1	0.0	0.1	0.2	0.1	0.0	0.1	0.0	0.1
0.0	0.1	0.1	0.0	0.2	0.3	0.1	0.0	0.2	0.0
0.2	0.1	0.2	0.0	0.0	0.2	0.1	0.1	0.1	0.0
0.0	0.2	0.1	0.0	0.2	0.2	0.1	0.1	0.1	0.0
0.0	0.0	0.1	0.2	0.2	0.2	0.0	0.2	0.1	0.0
0.1	0.2	0.0	0.1	0.4	0.0	0.0	0.1	0.1	0.0
0.1	0.2	0.1	0.0	0.1	0.1	0.1	0.1	0.1	0.1
0.4	0.1	0.0	0.1	0.2	0.0	0.0	0.1	0.0	0.1
0.0	0.1	0.2	0.1	0.3	0.0	0.0	0.1	0.2	0.0
0.1	0.1	0.2	0.0	0.2	0.1	0.1	0.0	0.2	0.0
0.2	0.2	0.1	0.1	0.0	0.0	0.1	0.2	0.0	0.1
0.0	0.0	0.3	0.0	0.1	0.0	0.1	0.3	0.2	0.0
0.0	0.2	0.0	0.0	0.1	0.4	0.1	0.2	0.0	0.0
0.1	0.1	0.2	0.0	0.1	0.1	0.1	0.1	0.1	0.1
0.0	0.0	0.2	0.0	0.1	0.6	0.0	0.0	0.1	0.0
0.4	0.1	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.1
0.4	0.2	0.0	0.1	0.2	0.1	0.0	0.0	0.0	0.0
0.1	0.2	0.2	0.0	0.0	0.2	0.1	0.2	0.0	0.0
0.2	0.1	0.2	0.1	0.2	0.0	0.0	0.1	0.0	0.1
0.0	0.1	0.2	0.0	0.2	0.2	0.0	0.3	0.0	0.0
