5 classifiers	3 classifiers	7 classifiers	9 classifiers	1 classifier
0.825712992	0.825712992	0.825712992	0.825712992	0.825712992
0.84113365	0.839690194	0.840911306	0.840134022	0.832478941
0.84024624	0.841243777	0.842907856	0.840133899	0.83425413
0.840467355	0.840911675	0.840356244	0.83858167	0.834476721
0.841243777	0.841244761	0.839581052	0.838914018	0.833921659
0.839580191	0.840246117	0.841244515	0.838581793	0.833144867
0.841355626	0.840689576	0.841466368	0.837361173	0.834031539
0.841244761	0.840467724	0.842242667	0.837582779	0.833809564
0.840024634	0.840800933	0.840578096	0.837582779	0.833810179
0.840800687	0.83880303	0.842020691	0.835585737	0.833477585
0.840801179	0.841133897	0.839690563	0.83846982	0.832478941
0.840800687	0.841576863	0.841022663	0.84079958	0.832478818
0.84091229	0.842575753	0.842242544	0.839357354	0.832145731
0.841244146	0.841577725	0.840357597	0.838248337	0.833144006
0.839802535	0.841799331	0.842685265	0.836695	0.831923879
0.840912413	0.84135538	0.841355134	0.838359325	0.831702149
0.841134389	0.842130941	0.841021678	0.838359448	0.83247931
0.840136237	0.840133407	0.840466862	0.836251295	0.831924248
0.839802658	0.839801305	0.841686252	0.839689579	0.832922892
0.840025003	0.841799208	0.840687238	0.837915497	0.831036592
0.840801918	0.842132048	0.840910198	0.837360312	0.831147702
0.841578463	0.841022663	0.840467232	0.838359448	0.831813506
0.84113525	0.841133035	0.841797855	0.837471546	0.832479187
0.841911303	0.841355257	0.842685019	0.836805865	0.832701408
0.843131185	0.841577356	0.842020076	0.837583149	0.831924371
0.844130075	0.84246452	0.839690809	0.839690686	0.832257088
0.844350943	0.843462918	0.842352547	0.839135009	0.83192474
0.844684275	0.84324168	0.840689084	0.838580685	0.833255855
0.843796373	0.843019582	0.840356367	0.838359079	0.832368322
0.843241557	0.842798713	0.840023403	0.836361791	0.832701162
0.843463779	0.840689576	0.841909458	0.836695	0.831592146
