tool	score	metrics
epSMic	0.816587396	AUC
CSS	0.703032105	AUC
CS	0.63882283	AUC
PrDSM	0.53686088	AUC
TraP	0.511741974	AUC
PhD-SNPg	0.409482759	AUC
FATHMM-MKL	0.472651605	AUC
DANN	0.537158145	AUC
FATHMM-XF	0.445451843	AUC
EnDSM	0.623067776	AUC
frDSM	0.535374554	AUC
usDSM	0.510998811	AUC
epSMic	0.790725327	AUC
CSS	0.7039239	AUC
CS	0.560939358	AUC
PrDSM	0.585909631	AUC
TraP	0.592003567	AUC
PhD-SNPg	0.413049941	AUC
FATHMM-MKL	0.510107015	AUC
DANN	0.534780024	AUC
FATHMM-XF	0.396254459	AUC
EnDSM	0.542806183	AUC
frDSM	0.469381688	AUC
usDSM	0.470124851	AUC
epSMic	0.817181926	AUC
CSS	0.727110583	AUC
CS	0.583828775	AUC
PrDSM	0.555588585	AUC
TraP	0.564952438	AUC
PhD-SNPg	0.391795482	AUC
FATHMM-MKL	0.48156956	AUC
DANN	0.42568371	AUC
FATHMM-XF	0.388674197	AUC
EnDSM	0.564209275	AUC
frDSM	0.496730083	AUC
usDSM	0.483501784	AUC
epSMic	0.790428062	AUC
CSS	0.647146254	AUC
CS	0.586504162	AUC
PrDSM	0.584423306	AUC
TraP	0.568370987	AUC
PhD-SNPg	0.496878716	AUC
FATHMM-MKL	0.531510107	AUC
DANN	0.473246136	AUC
FATHMM-XF	0.416765755	AUC
EnDSM	0.66706302	AUC
frDSM	0.557372176	AUC
usDSM	0.471611177	AUC
epSMic	0.793697979	AUC
CSS	0.614447087	AUC
CS	0.583828775	AUC
PrDSM	0.58293698	AUC
TraP	0.575951249	AUC
PhD-SNPg	0.39863258	AUC
FATHMM-MKL	0.521997622	AUC
DANN	0.567479191	AUC
FATHMM-XF	0.420927467	AUC
EnDSM	0.576397146	AUC
frDSM	0.511296076	AUC
usDSM	0.511741974	AUC
epSMic	0.77824019	AUC
CSS	0.671224732	AUC
CS	0.583234245	AUC
PrDSM	0.580261593	AUC
TraP	0.553359096	AUC
PhD-SNPg	0.450208086	AUC
FATHMM-MKL	0.524375743	AUC
DANN	0.532996433	AUC
FATHMM-XF	0.471165279	AUC
EnDSM	0.583828775	AUC
frDSM	0.476813317	AUC
usDSM	0.525713436	AUC
epSMic	0.756242568	AUC
CSS	0.66706302	AUC
CS	0.596611177	AUC
PrDSM	0.612960761	AUC
TraP	0.594233056	AUC
PhD-SNPg	0.422116528	AUC
FATHMM-MKL	0.546967895	AUC
DANN	0.603745541	AUC
FATHMM-XF	0.499702735	AUC
EnDSM	0.609690844	AUC
frDSM	0.563020214	AUC
usDSM	0.58293698	AUC
epSMic	0.835017836	AUC
CSS	0.719976219	AUC
CS	0.631391201	AUC
PrDSM	0.535671819	AUC
TraP	0.498067776	AUC
PhD-SNPg	0.440992866	AUC
FATHMM-MKL	0.478745541	AUC
DANN	0.495243757	AUC
FATHMM-XF	0.390011891	AUC
EnDSM	0.560344828	AUC
frDSM	0.470868014	AUC
usDSM	0.420184304	AUC
epSMic	0.803210464	AUC
CSS	0.702437574	AUC
CS	0.590368609	AUC
PrDSM	0.520214031	AUC
TraP	0.583828775	AUC
PhD-SNPg	0.412901308	AUC
FATHMM-MKL	0.446195006	AUC
DANN	0.465219976	AUC
FATHMM-XF	0.40665874	AUC
EnDSM	0.562425684	AUC
frDSM	0.520214031	AUC
usDSM	0.474435196	AUC
epSMic	0.758026159	AUC
CSS	0.673305589	AUC
CS	0.612960761	AUC
PrDSM	0.611474435	AUC
TraP	0.539239001	AUC
PhD-SNPg	0.44351962	AUC
FATHMM-MKL	0.571640904	AUC
DANN	0.424197384	AUC
FATHMM-XF	0.475921522	AUC
EnDSM	0.638376932	AUC
frDSM	0.540428062	AUC
usDSM	0.475921522	AUC
epSMic	0.835236124	AUPR
CSS	0.701826492	AUPR
CS	0.676884998	AUPR
PrDSM	0.592070175	AUPR
TraP	0.553995932	AUPR
PhD-SNPg	0.471746703	AUPR
FATHMM-MKL	0.517929038	AUPR
DANN	0.574127321	AUPR
FATHMM-XF	0.526733255	AUPR
EnDSM	0.606103207	AUPR
frDSM	0.540382419	AUPR
usDSM	0.551965228	AUPR
epSMic	0.775298983	AUPR
CSS	0.740643315	AUPR
CS	0.557454448	AUPR
PrDSM	0.627156064	AUPR
TraP	0.621108224	AUPR
PhD-SNPg	0.446948541	AUPR
FATHMM-MKL	0.548326157	AUPR
DANN	0.523752972	AUPR
FATHMM-XF	0.501872641	AUPR
EnDSM	0.558132339	AUPR
frDSM	0.520338326	AUPR
usDSM	0.543094303	AUPR
epSMic	0.873763877	AUPR
CSS	0.715355395	AUPR
CS	0.607271115	AUPR
PrDSM	0.628981976	AUPR
TraP	0.571407749	AUPR
PhD-SNPg	0.482192836	AUPR
FATHMM-MKL	0.526496689	AUPR
DANN	0.458235283	AUPR
FATHMM-XF	0.469128704	AUPR
EnDSM	0.559681888	AUPR
frDSM	0.516623521	AUPR
usDSM	0.542488729	AUPR
epSMic	0.786594042	AUPR
CSS	0.661973981	AUPR
CS	0.596606996	AUPR
PrDSM	0.625099471	AUPR
TraP	0.60609599	AUPR
PhD-SNPg	0.509155506	AUPR
FATHMM-MKL	0.569160377	AUPR
DANN	0.49654491	AUPR
FATHMM-XF	0.500147183	AUPR
EnDSM	0.63215377	AUPR
frDSM	0.560863485	AUPR
usDSM	0.531337866	AUPR
epSMic	0.80801257	AUPR
CSS	0.611836894	AUPR
CS	0.584652731	AUPR
PrDSM	0.642972704	AUPR
TraP	0.607980964	AUPR
PhD-SNPg	0.436715423	AUPR
FATHMM-MKL	0.580665908	AUPR
DANN	0.543181542	AUPR
FATHMM-XF	0.503579765	AUPR
EnDSM	0.582046553	AUPR
frDSM	0.543252761	AUPR
usDSM	0.554902062	AUPR
epSMic	0.826007146	AUPR
CSS	0.676732072	AUPR
CS	0.576329371	AUPR
PrDSM	0.617072138	AUPR
TraP	0.577253103	AUPR
PhD-SNPg	0.467687938	AUPR
FATHMM-MKL	0.545081368	AUPR
DANN	0.540618625	AUPR
FATHMM-XF	0.526197541	AUPR
EnDSM	0.58689942	AUPR
frDSM	0.531461037	AUPR
usDSM	0.565500629	AUPR
epSMic	0.710054731	AUPR
CSS	0.69939737	AUPR
CS	0.588746002	AUPR
PrDSM	0.641709823	AUPR
TraP	0.610279934	AUPR
PhD-SNPg	0.483462825	AUPR
FATHMM-MKL	0.582724968	AUPR
DANN	0.599089464	AUPR
FATHMM-XF	0.548920247	AUPR
EnDSM	0.622921335	AUPR
frDSM	0.59119169	AUPR
usDSM	0.599025588	AUPR
epSMic	0.880138584	AUPR
CSS	0.723884655	AUPR
CS	0.668292132	AUPR
PrDSM	0.578175902	AUPR
TraP	0.53106554	AUPR
PhD-SNPg	0.471432403	AUPR
FATHMM-MKL	0.519605946	AUPR
DANN	0.477934686	AUPR
FATHMM-XF	0.50318669	AUPR
EnDSM	0.558967982	AUPR
frDSM	0.523567706	AUPR
usDSM	0.514785738	AUPR
epSMic	0.849056938	AUPR
CSS	0.721928297	AUPR
CS	0.617807559	AUPR
PrDSM	0.596979393	AUPR
TraP	0.624380624	AUPR
PhD-SNPg	0.464031867	AUPR
FATHMM-MKL	0.508731026	AUPR
DANN	0.492012414	AUPR
FATHMM-XF	0.51274268	AUPR
EnDSM	0.580416721	AUPR
frDSM	0.560877518	AUPR
usDSM	0.537409488	AUPR
epSMic	0.718449495	AUPR
CSS	0.680652347	AUPR
CS	0.620579685	AUPR
PrDSM	0.670113848	AUPR
TraP	0.584540429	AUPR
PhD-SNPg	0.505375507	AUPR
FATHMM-MKL	0.604301834	AUPR
DANN	0.45892856	AUPR
FATHMM-XF	0.551198145	AUPR
EnDSM	0.63782165	AUPR
frDSM	0.578914725	AUPR
usDSM	0.552073679	AUPR
