dPSIZ	SR-	SR+	FAS6-	FAS6+	MES	dMES	MES+	MES-	MEC-MC?	MEC-CS?	MES-KM?	PESE-	PESE+	PESS-	PESS+
	0.0	0.0	0.0	0.0	3.48	0.49	-0.49	0.49	0.0	1.0	0.0	0.0	0.0	0.0	0.0
-0.822	0.0	0.0938		1.0					0.0	0.0	0.0	0.0	0.0667	0.0	0.0
2.445	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
	0.1	0.1	0.25	0.0					0.0	0.0	0.0		1.0		
-0.813	0.0222	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
-0.707	0.0	0.027	0.0	0.0					0.0	0.0	0.0	0.0	0.0667		
	0.0143	0.0	0.0	0.0					0.0	0.0	0.0	0.0541	0.0	0.0	0.0
0.961															
	0.0	0.0265	0.0	0.0	4.47	0.68	-0.2	0.68	0.0	1.0	0.0	0.0	0.0	0.0	0.0
	0.0179	0.0	0.0	0.0					0.0	0.0	0.0	0.0345	0.0	0.0	0.0
0.506	0.025	0.0488	0.0	0.0	9.39	0.78	0.36	0.78	0.0	1.0	0.0	0.0	0.0833		
0.501	0.0571	0.0294	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
-0.398	0.0571	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
-0.012	0.0137	0.0137	0.0	0.0					0.0	0.0	0.0	0.037	0.0		
-0.606	0.0333	0.0333	0.0	0.0					0.0	0.0	0.0	0.0	0.1429		
-0.436	0.0476	0.0	0.0	0.4					0.0	0.0	0.0	0.0	0.0		
-0.426	0.0345	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0		
	0.0109	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
	0.0055	0.0109	0.0	0.0					0.0	0.0	0.0	0.0227	0.0	0.0	0.0
	0.0055	0.0	0.0	0.0	5.07	7.95	7.95		0.0	1.0	0.0	0.0	0.0	0.0	0.0
1.893	0.0833	0.0833	0.0	0.0	3.87	0.52	0.52	-0.52	0.0	1.0	0.0				
1.693	0.0135	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0769		
-1.782	0.0267	0.0135	0.0	0.0					0.0	0.0	0.0	0.04	0.0		
-1.447	0.0	0.0	0.0	0.3333					0.0	0.0	0.0	0.0	0.0		1.0
	0.0086	0.0	0.0	0.0	6.06	8.75		8.75	0.0	1.0	0.0	0.0	0.0	0.0	0.0
	0.022	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.274	0.0286	0.0	0.0	0.0	2.93	0.96	0.96		0.0	1.0	0.0	0.0769	0.0		
0.273	0.0417	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0		
0.61	0.0606	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0333		
	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0
