priPhCons	mamPhCons	verPhCons	priPhyloP	mamPhyloP	verPhyloP	GerpS
0.467	0.15	0.009	-0.48	-1.453	-2.407	-9.24
0.998	1.0	1.0	0.559	2.664	1.628	4.78
0.978	1.0	1.0	0.45	2.099	2.654	5.24
0.059	0.005	0.028	-0.375	-0.681	-0.774	-6.02
0.992	1.0	1.0	0.581	1.383	0.752	3.64
0.883	1.0	1.0	0.474	2.155	3.155	5.64
0.994	1.0	0.991	0.651	0.733	0.168	2.46
0.681	1.0	1.0	0.557	2.575	2.894	4.95
0.989	0.524	0.157	0.525	-0.132	-0.204	-2.15
0.51	0.343	0.489	-1.287	-1.408	-1.042	-10.0
0.966	0.876	0.871	0.462	1.074	1.043	2.54
0.018	0.0	0.0	-0.347	-0.491	-0.885	-3.69
0.985	0.997	1.0	0.559	1.359	3.922	4.31
0.365	0.0	0.0	-0.512	-0.664	-1.295	-4.63
0.999	0.999	0.999	0.53	0.134	0.49	0.715
0.117	0.0	0.0	-0.759	-1.945	-1.632	-10.0
0.731	0.998	1.0	0.651	0.832	1.615	4.07
0.994	1.0	1.0	0.651	2.858	3.55	5.73
0.563	0.0	0.0	-1.517	-4.72	-3.828	-10.9
0.87	0.018	0.235	-0.374	-1.369	-1.133	-5.45
0.992	1.0	1.0	0.557	1.559	2.66	5.2
0.217	0.071	0.012	-2.145	-4.095	-2.733	-11.3
0.999	1.0	0.998	0.525	0.473	0.217	1.72
0.439	0.016	0.0	-0.808	-0.163	-1.017	-1.61
0.986	0.999	0.944	-0.144	0.618	-0.175	1.61
0.99	1.0	1.0	-0.347	0.446	0.379	3.04
0.301	0.001	0.0	0.307	0.295	0.225	1.35
0.607	0.98	0.999	-0.808	-0.496	0.422	-2.3
0.021	0.0	0.003	-0.828	-1.157	-0.58	-2.19
0.974	1.0	1.0	0.587	2.718	6.215	5.76
0.976	1.0	1.0	-0.141	0.848	1.183	3.85
0.998	1.0	1.0	0.478	0.443	1.109	3.4
0.634	0.729	0.81	0.53	-0.12	-0.267	-3.08
0.688	0.988	0.991	-0.14	0.542	0.869	1.99
0.677	0.0	0.0	-0.348	-0.085	-0.218	0.618
0.954	1.0	1.0	0.402	1.981	1.036	2.82
0.949	0.94	0.681	-0.624	-1.001	-0.596	-6.82
0.916	1.0	1.0	0.557	2.483	2.904	5.29
0.901	0.0	0.0	-0.449	-0.831	-0.47	-2.77
0.772	0.507	0.134	-0.823	-1.905	-1.665	-11.9
0.001	0.0	0.0	-0.765	0.313	0.303	1.36
0.007	0.0	0.0	0.525	-2.369	-0.826	-10.3
0.086	0.028	0.451	-0.307	-0.848	-0.923	-6.59
0.39	0.0	0.001	0.525	-0.532	-0.64	-4.08
0.092	0.999	0.993	0.307	0.04	0.018	0.635
0.234	0.933	0.223	-1.29	-0.379	-0.625	-4.26
0.994	1.0	1.0	0.651	2.792	3.245	4.86
0.966	0.999	0.912	-0.174	0.359	-0.143	1.73
0.668	0.213	0.626	-0.333	-2.819	-1.196	-10.8
0.998	1.0	1.0	0.651	1.336	1.067	3.66
0.73	1.0	1.0	-1.036	0.427	0.812	1.63
0.951	0.999	0.997	-0.297	0.155	0.117	0.372
0.648	1.0	1.0	0.444	0.986	0.411	1.53
0.304	0.991	0.998	0.559	0.447	1.006	2.67
0.847	0.997	1.0	0.557	0.277	1.518	1.02
0.985	1.0	1.0	0.651	0.469	1.612	2.42
0.001	0.0	0.0	-0.96	-0.83	-1.351	-5.86
0.977	1.0	0.993	-0.513	0.402	-0.017	0.171
