dPSIZ	SR-	SR+	FAS6-	FAS6+	MES	dMES	MES+	MES-	MEC-MC?	MEC-CS?	MES-KM?	PESE-	PESE+	PESS-	PESS+
1.227															
-0.528	0.0	0.0	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000		
-2.526	0.0435	0.0435							0.0	0.0	0.0	0.0000	0.0526		
0.169	0.0000	0.0000	0.0000	0.0000	7.1100	0.3900	0.3900	-0.3900	0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
2.061	0.0000	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0435	0.0000	0.0000
	0.0000	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
-0.338															
-0.245	0.0000	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.2778	0.0000	0.0000	0.0000
-2.489	0.0312	0.0312	0.0000	0.0000	5.4100	0.5400	-0.5400	0.5400	0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
	0.0032	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
-2.548	0.0909	0.0000							0.0	0.0	0.0	0.0000	0.0000	0.0000	0.7500
															
-0.918															
															
-0.452	0.0000	0.0	0.0000	0.5000					0.0	0.0	0.0	0.0000	0.0000		
-1.054	0.0385	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.1000	0.0000		
	0.0000	0.0017	0.0000	0.0000	6.6400	1.1200	-1.1200	1.1200	0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
0.102	0.0043	0.0127	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
	0.0128	0.0128	0.0000	0.0000	4.7300	0.2100	-0.2100	0.2100	0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
2.692	0.1333	0.0000	0.1429	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
-0.783	0.0000	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.2500
0.011	0.0072	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
-0.043	0.0000	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000		
-0.818	0.0294	0.0294	0.0000	0.0000					0.0	0.0	0.0	0.0714	0.0000	0.0000	0.0000
0.027	0.0000	0.0144	0.0000	0.0000	4.1900	0.9500	0.9500	-0.9500	0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
-0.826	0.0000	0.1000							0.0	0.0	0.0			0.0000	0.0000
0.007															
	0.0012	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
1.058	0.0000	0.0196	0.0000	0.1667					0.0	0.0	0.0	0.0000	0.0000		
0.313															
	0.0088	0.0	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
-0.351	0.0037	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0256	0.0000	0.0115	0.0000
	0.0024	0.0024	0.0000	0.0000	9.4900	0.4400	0.4400	-0.4400	0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
-1.784	0.0000	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000		
	0.0000	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0417		
-1.325	0.0476	0.0	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.2500
0.819	0.0000	0.0000	0.0000	0.5000					0.0	0.0	0.0	0.0000	0.5000		
	0.0027	0.0053	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0077	0.0000	0.0000
-0.225	0.0588	0.0588	0.0000	0.0000	3.0200	0.2000	0.2000	-0.2000	0.0	1.0	0.0	0.0000	0.0000		
1.098															
0.345	0.0000	0.0000	0.0000	0.0000	2.0100	0.8700		0.8700	0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
	0.0023	0.0000	0.0000	0.0000	2.3200	6.7500		6.7500	0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
-2.187	0.0833	0.0833	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
	0.0000	0.0057	0.0000	0.0000	4.6700	0.7100	-0.7100	0.7100	0.0	1.0	0.0	0.0000	0.0000	0.0000	0.1667
	0.0049	0.0049	0.0000	0.0000	3.2300	4.3700	4.3700		0.0	1.0	0.0	0.0286	0.0286	0.0000	0.0000
0.808	0.0000	0.0							0.0	0.0	0.0	0.0588	0.0000		
-0.217	0.0065	0.0065	0.0000	0.0000					0.0	0.0	0.0	0.0222	0.0000	0.0000	0.0455
1.152	0.0000	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.2500	0.0000
	0.0000	0.0	0.0000	0.0000					0.0	0.0	0.0	0.0085	0.0000	0.0000	0.0000
	0.0000	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
0.692															
	0.0062	0.0062	0.0000	0.0000	6.7200	0.4400	0.4400	-0.4400	0.0	1.0	0.0	0.0137	0.0000	0.0000	0.0000
-2.203															
1.158															
-0.567	0.0	0.0	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
-0.63	0.0357	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0714	0.0000		
															
	0.0000	0.0019	0.0000	0.0000					0.0	0.0	0.0	0.0072	0.0000	0.0000	0.0000
															
0.296															
-0.445	0.0061	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0152	0.0000	0.0000	0.0000
															
-0.293	0.1379	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000		
-1.186	0.0435	0.0000	0.0000	0.0000	2.0000	0.5400			0.0	1.0	0.0	0.1818	0.0000	0.0000	0.0000
