PrDSM	TraP	SilVA	PhD-SNPg	FATHMM-MKL	CADD	DANN	FATHMM-XF
0.144329161104	0.018		0.068	0.26967	18.92	0.850938809258355	0.00599
0.172728415162	0.008	0.0	0.136	0.50814	5.736	0.4456430152548809	0.00542
0.113244532987	0.091	0.002	0.164	0.24467	15.56	0.8816364928366967	0.004839
0.066134832965	0.063	0.044	0.018	0.08724	9.393	0.528709233771607	0.005389
0.112030901338	0.003	0.267	0.006	0.05087	8.757	0.5938564568527885	0.005533
0.00800936638151	0.0	0.0	0.015	0.02197	11.86	0.7672044547708678	0.003556
0.0531588640157	0.071		0.019	0.03438	9.26	0.6523304535014354	0.00388
0.197452095334	0.064	0.034	0.183	0.49069	5.93	0.448815757295876	0.012354
0.047221656323	0.072	0.016	0.077	0.05089	15.45	0.8470019803021722	0.044383
0.0500226458824	0.009	0.0	0.019	0.13902	16.72	0.9686057611763128	0.006087
0.0819092744235	0.004	0.021	0.236	0.21764	10.29	0.7474922201749923	0.004298
0.350761767108	0.14		0.509	0.56066	15.43	0.8503935813286374	0.007695
0.082806314794	0.116		0.246	0.04872	9.306	0.8528515202196115	0.008978
0.0291339394298	0.041		0.218	0.0163	14.18	0.6107439540362692	0.003681
0.0328088130086	0.021	0.03	0.002	0.04391	3.38	0.6235403370898724	0.008909
0.120253054548	0.145	0.033	0.006	0.17922	9.574	0.6790403207136299	0.007647
0.130931018715	0.06	0.003	0.015	0.32765	14.1	0.6769072584290766	0.02019
0.0676112978347	0.144	0.0	0.029	0.05692	4.018	0.750200855444557	0.005916
0.0226189923565	0.06	0.002	0.003	0.00376	6.234	0.6490475297786608	0.006681
0.327904600256	0.02	0.052	0.085	0.90712	17.31	0.9658436868016116	0.044156
0.304218679348	0.022	0.017	0.078	0.87079	16.42	0.6382595856940779	0.014394
0.0940536300699	0.004	0.001	0.054	0.27506	1.687	0.6353630598074251	0.006059
0.0265298934056	0.045	0.005	0.229	0.02733	1.926	0.880435146987721	0.004699
0.250261807503	0.085	0.002	0.009	0.66172	14.73	0.8217934346760337	0.006918
0.335754171795	0.222	0.039	0.081	0.74251	17.16	0.8516872359890773	0.008203
0.379414072899	0.386	0.064	0.366	0.68342	10.33	0.7363149192172217	0.006894
0.439964666288	0.011		0.346	0.86794	9.605	0.7174269902674126	0.007063
0.0265980001855	0.073	0.002	0.009	0.00271	0.117	0.786579709769281	0.006132
0.321128249806	0.19	0.009	0.189	0.76208	16.73	0.9475583855229408	0.008472
0.0780130660231	0.153		0.42	0.00217	15.18	0.7019637951940361	0.01738
0.352057614916	0.222	0.008	0.106	0.82395	18.96	0.8508715096209558	0.006953
0.505578447899	0.38	0.137	0.997	0.99131	11.95	0.7278813655608434	0.124367
0.051020572283	0.096	0.03	0.06	0.02362	11.7	0.9085217765121346	0.010072
0.0438408354942	0.014	0.001	0.007	0.11443	7.173	0.8541728206659449	0.009415
0.016555198692	0.04	0.004	0.041	0.00345	0.037	0.6736517412206281	0.007857
0.0328924019932	0.083	0.012	0.019	0.00111	3.111	0.8696549323539053	
0.033666915809	0.005	0.062	0.002	0.02889	4.303	0.7362501078648253	0.005224
0.227412263928	0.025	0.0	0.323	0.65521	4.917	0.6288075907378348	0.007024
0.0242328101493	0.016	0.005	0.053	0.04941	1.094	0.6035539953018259	0.012183
0.721979868114	0.743		0.242	0.7007	21.2	0.8069267410959069	0.009744
0.20915489664	0.027	0.001	0.023	0.59739	4.128	0.5048922120111972	0.008042
0.134223989141	0.184	0.075	0.151	0.1381	7.627	0.8635543780581025	0.010254
0.0132616459198	0.005	0.012	0.009	0.02014	7.926	0.482766719886639	0.003643
0.328936535594	0.197	0.006	0.594	0.78166	15.83	0.6484197982763981	0.014092
0.280690265715	0.013	0.054	0.323	0.77037	22.2	0.9626663938163192	0.008632
0.229208029442	0.027	0.001	0.103	0.65755	3.301	0.5010339984583126	0.011036
0.318089704651	0.007	0.019	0.792	0.92529	11.8	0.7462152998009689	0.009436
0.257972471146	0.074	0.0	0.161	0.69794	11.1	0.744475119283239	0.005271
0.0984121619488	0.013	0.009	0.01	0.27075	14.74	0.6366998990390891	0.02886
0.0447323364825	0.039	0.017	0.037	0.07534	7.579	0.6009227984668679	0.006904
0.114113858862	0.09		0.06	0.13731	7.417	0.751179611002814	0.014293
0.0847120873179	0.015	0.007	0.062	0.22975	16.4	0.9485140694185796	0.010079
0.197034568116	0.188		0.197	0.20525	5.703	0.2245940789820115	0.013442
0.264870977664	0.022		0.007	0.50676	6.356	0.496816438870622	0.015484
0.0275722802312	0.0	0.001	0.003	0.07961	1.447	0.62940815004599	0.004961
0.0365279862532	0.016	0.026	0.023	0.06426	7.435	0.7888818848880748	0.005942
0.25098303962	0.463		0.117	0.03842	19.59	0.8270791144687794	0.003089
0.0496899181387	0.123	0.023	0.33	0.0	9.633	0.8118393570736722	0.005159
0.093635437272	0.067		0.112	0.11933	8.867	0.6663309027047563	0.0071
0.105604713184	0.048		0.062	0.16225	7.829	0.6277928863960123	0.005443
0.0406324467441	0.02	0.0	0.019	0.09986	5.16	0.7184578237008451	0.006159
0.0560753183677	0.068		0.015	0.04321	12.06	0.3792351305941141	0.005668
0.45424378857	0.332	0.067	0.825	0.95871	11.96	0.7840068711465746	0.008691
