priPhCons	mamPhCons	verPhCons	priPhyloP	mamPhyloP	verPhyloP	GerpS
0.453	0.999	1.0	-0.272	1.308	1.231	4.52
0.173	0.043	0.012	-0.534	-1.583	-3.323	-10.1
0.148	0.926	1.0	-0.261	0.194	0.882	2.3
0.0	0.0	0.0	-1.603	-0.665	-0.699	-3.37
0.517	1.0	0.999	0.557	0.611	0.411	1.93
0.37	1.0	1.0	-0.798	0.595	0.677	3.25
0.736	0.999	0.996	0.557	1.421	0.201	2.73
0.01	0.006	0.001	0.298	-0.161	-0.01	0.244
0.689	0.831	0.989	0.557	1.152	1.167	3.33
0.006	0.234	0.695	0.557	0.454	0.758	2.72
0.013	0.0	0.0	-2.28	-2.056	-0.8	-9.01
0.042	0.031	0.046	-0.14	-0.329	-0.088	-2.45
0.011	0.0	0.001	-0.808	-3.284	-2.255	-10.4
0.012	0.0	0.0	-0.48	-2.235	-1.51	-8.24
0.088	0.0	0.0	0.557	-0.71	-0.761	-4.21
0.0	0.0	0.0	-0.384	-1.458	-1.189	-9.01
0.327	0.988	0.994	0.291	0.865	0.235	2.12
0.0	0.003	0.002	-0.359	0.114	0.75	1.81
0.063	0.994	1.0	-0.457	0.071	1.174	1.43
0.073	0.851	0.36	-0.359	-0.889	-0.133	-6.02
0.002	0.002	0.001	-0.459	-0.364	-0.153	-0.983
0.001	0.003	0.094	-0.531	-0.398	-0.287	-1.91
0.0	0.0	0.0	-0.701	-0.547	-0.622	-2.16
0.385	0.998	1.0	0.559	1.054	1.454	3.55
0.001	0.0	0.0	0.436	-0.92	-1.053	-3.91
0.0	0.006	0.006	-0.2	0.942	0.605	2.39
0.025	0.306	0.481	-0.18	0.952	0.624	2.41
0.011	0.0	0.0	-0.347	-1.921	-1.35	-7.9
0.791	0.999	1.0	0.299	0.328	1.935	2.63
0.991	0.997	1.0	0.538	0.714	1.15	2.7
0.001	0.026	0.267	-0.37	0.458	0.835	2.05
0.001	0.0	0.001	0.45	0.228	0.969	1.39
0.001	0.001	0.0	0.291	-3.213	-3.575	-7.48
0.747	1.0	1.0	0.299	0.387	0.903	2.45
0.09	0.843	0.983	-0.371	1.138	2.427	4.14
0.001	0.0	0.0	-0.226	-3.087	-3.324	-10.3
0.09	0.547	0.018	-1.311	-2.107	-2.575	-10.3
0.005	0.789	0.461	0.557	1.156	0.831	2.61
0.0	0.0	0.0	-0.264	-1.701	-2.608	-9.72
0.0	0.0	0.0	-1.505	-1.444	-1.499	-7.59
0.0	0.0	0.0	-1.07	-3.136	-2.89	-9.02
0.068	0.0	0.436	-0.736	-1.312	-0.401	-4.71
0.005	1.0	1.0	0.436	1.99	1.93	2.31
0.005	0.771	0.921	-0.155	-0.062	-0.069	-1.01
0.014	0.0	0.0	0.422	-0.29	-0.268	-0.977
0.014	0.115	0.163	-0.23	-0.354	-0.917	-2.16
0.001	0.367	0.995	-0.528	0.255	2.198	1.57
0.005	0.052	1.0	0.198	1.225	1.658	1.41
0.018	0.748	1.0	0.165	0.209	2.778	1.49
0.194	0.997	1.0	0.187	0.329	2.931	1.43
0.002	0.002	0.002	0.187	0.183	0.189	0.118
0.365	0.984	0.976	-0.407	0.588	-0.293	2.0
0.495	0.084	0.587	-0.289	-0.487	-0.862	-3.4
0.025	0.721	1.0	0.451	0.917	0.777	2.56
0.862	0.994	0.995	0.486	-0.458	-0.016	-2.06
0.95	0.997	0.997	0.436	1.792	2.547	3.25
0.024	0.012	0.17	-4.497	-1.568	-1.755	-9.46
0.345	0.997	1.0	0.457	0.676	2.114	3.59
0.301	0.997	1.0	0.48	0.611	0.705	2.32
0.068	0.853	0.982	0.419	-0.147	-0.428	-0.158
0.0	0.0	0.582	-0.355	-0.414	-0.932	-3.5
0.997	1.0	1.0	0.526	1.946	1.605	3.75
0.107	0.092	0.997	0.418	1.675	4.327	3.0
0.314	1.0	1.0	0.557	1.21	1.81	3.34
0.98	0.998	1.0	0.557	0.719	1.175	3.39
0.997	1.0	1.0	0.557	1.358	1.274	4.36
0.108	0.999	0.998	-1.5	0.26	0.27	2.52
0.708	1.0	1.0	0.632	2.593	2.171	5.5
0.062	0.036	0.977	0.307	0.591	1.54	2.06
0.292	0.001	0.0	-1.909	-5.856	-5.501	-8.46
0.893	1.0	1.0	0.43	2.42	2.403	4.35
0.002	0.009	0.092	0.398	1.099	1.681	1.83
0.004	0.001	0.001	-0.461	-0.192	-0.158	-0.798
0.993	1.0	1.0	0.387	1.85	3.548	4.14
0.139	1.0	1.0	0.557	0.474	2.45	2.49
0.885	1.0	1.0	0.402	2.056	5.168	4.03
0.002	0.0	0.0	-0.405	-0.14	-0.126	-0.744
0.99	0.398	0.791	0.486	-0.159	-0.178	0.708
0.072	1.0	1.0	0.557	2.124	3.817	4.65
0.989	0.997	0.994	0.486	-0.184	0.045	0.0793
0.221	1.0	0.989	0.486	0.606	0.081	1.6
0.429	0.841	0.925	-0.512	-0.494	-0.565	-3.18
0.004	0.872	0.993	-1.271	-0.415	-0.029	-1.04
0.099	0.0	0.0	0.242	-1.421	-1.352	-5.62
0.0	0.001	0.001	0.177	-0.421	-0.405	-2.38
0.051	0.786	0.759	-1.596	-1.913	-1.501	-7.58
0.215	0.744	0.735	0.451	0.87	0.898	2.23
0.006	0.0	0.0	0.557	-0.123	-0.326	-0.565
0.311	0.125	0.047	-0.375	-1.164	-1.097	-6.23
0.268	0.413	0.703	0.455	-1.643	-0.836	-6.39
0.855	1.0	1.0	0.379	1.708	2.972	4.63
0.016	0.984	0.977	-1.761	-0.51	-0.147	-3.97
0.734	0.232	0.122	-0.935	-2.918	-1.731	-10.2
0.127	0.996	1.0	0.559	2.131	3.308	4.33
0.34	0.984	0.881	-1.931	-0.752	-0.642	-6.98
0.005	0.806	0.987	-0.435	1.046	2.587	2.86
0.456	0.63	0.831	0.457	-0.829	-0.706	-4.87
0.01	0.993	1.0	0.486	0.516	0.558	3.17
0.071	0.023	0.306	-1.154	-2.286	-1.112	-7.79
0.001	0.04	0.049	-1.653	-3.705	-3.168	-7.16
0.006	0.014	0.0	-0.472	-1.875	-2.187	-8.86
0.004	0.917	0.902	-1.662	-0.673	-0.489	-3.94
0.561	0.985	0.986	-0.14	0.205	-0.046	0.0417
0.419	1.0	1.0	0.457	1.105	0.882	2.8
0.094	0.986	0.999	0.486	-0.256	0.42	-1.94
0.366	0.547	0.849	0.559	2.056	2.479	3.75
0.877	0.997	1.0	0.646	-0.031	0.618	-0.143
0.32	0.998	1.0	0.307	-0.178	0.792	0.683
0.052	0.007	0.843	-0.464	-1.128	-0.317	-3.95
0.013	0.881	0.981	-0.274	-0.192	-0.264	-1.8
