priPhCons	mamPhCons	verPhCons	priPhyloP	mamPhyloP	verPhyloP	GerpS
0.947	0.992	0.99	0.557	-0.073	0.054	-1.72
0.201	0.984	0.59	0.553	1.106	0.473	2.78
0.957	0.997	0.999	0.651	-0.183	0.303	-0.581
0.975	0.996	0.299	0.645	-0.151	-0.977	-1.29
0.973	0.993	0.579	-0.961	-0.338	-0.789	-2.19
0.946	0.013	0.002	-0.144	-0.741	-0.436	-4.11
0.453	0.931	0.919	0.462	0.339	0.551	0.929
0.206	0.88	0.975	0.494	0.225	0.382	0.354
0.908	0.918	0.591	0.455	-0.914	-1.397	-7.4
0.991	0.977	0.992	0.651	-0.004	0.113	0.125
0.981	0.981	0.998	-0.286	-0.036	0.746	1.1
0.689	0.998	0.991	-0.225	-0.013	-0.136	-1.73
0.993	0.991	0.61	-0.318	-0.407	-0.806	-3.35
0.389	0.94	0.958	-0.201	0.128	0.45	2.03
0.962	0.684	0.142	-1.292	-1.862	-1.693	-11.8
0.837	0.963	0.961	-0.246	-0.455	-0.151	-0.566
0.937	0.919	0.982	-0.18	-0.56	-0.059	-1.33
0.981	0.595	0.102	-0.318	-1.212	-1.778	-9.71
0.678	0.672	0.703	0.11	0.109	0.111	0.0
0.972	1.0	0.996	-0.255	0.423	0.05	1.88
0.992	0.998	0.999	-0.146	-0.015	0.499	1.39
0.001	0.952	0.915	-1.114	-0.425	-0.289	-5.42
0.278	0.114	0.0	-0.144	-0.696	-1.833	-6.07
0.951	0.993	0.998	-0.751	-0.243	0.205	0.26
0.982	0.999	1.0	-0.264	0.555	1.045	2.97
0.972	0.996	0.992	0.651	1.463	1.071	4.88
0.982	0.998	0.998	0.645	0.67	1.229	3.74
0.047	0.0	0.0	0.291	-2.501	-2.847	-7.87
0.99	1.0	1.0	0.473	2.204	1.514	3.83
0.005	0.925	0.971	0.553	2.566	2.805	4.64
0.991	1.0	1.0	0.651	2.718	0.637	4.45
0.994	1.0	1.0	0.651	2.648	6.073	5.31
0.374	0.998	0.193	0.486	-0.01	-0.64	-0.987
0.786	0.037	0.727	-0.142	-0.715	-0.012	-4.75
0.001	0.0	0.0	-0.777	-3.666	-3.518	-7.81
0.043	0.028	0.005	0.276	-0.768	-0.864	-3.95
0.888	0.101	0.049	-0.13	-2.256	-2.789	-11.3
0.0	0.439	0.047	-0.321	0.118	0.146	2.11
0.521	0.002	0.026	-0.347	-1.326	-0.764	-8.43
0.997	1.0	1.0	0.553	2.729	2.048	5.49
0.831	0.998	1.0	-2.087	-0.113	0.721	1.62
0.177	0.001	0.023	0.651	0.074	0.685	1.94
0.509	0.914	0.225	-0.481	-0.502	-0.788	-6.12
0.258	1.0	1.0	0.587	2.159	0.703	4.38
0.997	0.998	1.0	0.451	0.41	1.126	1.9
0.398	0.15	0.698	0.651	0.012	1.005	1.11
0.998	1.0	1.0	0.651	2.879	1.767	4.85
0.995	0.999	0.998	0.53	0.125	0.198	2.06
0.135	0.87	0.904	0.53	2.073	1.362	4.96
0.012	0.087	0.373	0.406	0.914	0.478	2.08
0.877	0.003	0.042	-0.257	-0.048	0.089	0.00199
0.862	0.783	0.971	0.283	1.262	2.444	1.69
0.05	0.989	0.609	0.455	-0.143	-0.635	-3.24
0.142	0.984	0.998	0.557	1.03	1.095	3.97
0.518	0.201	0.723	-1.909	-2.045	-1.034	-8.81
0.867	0.986	0.991	-1.009	-0.656	-0.188	-1.12
0.956	0.999	0.998	0.479	2.34	1.231	3.24
0.984	0.917	0.0	0.478	-0.086	-1.078	-0.574
0.877	0.824	0.636	0.53	-0.437	-0.26	-0.924
0.573	0.986	0.739	0.48	0.044	-0.453	-1.42
0.867	0.626	0.053	-1.209	-1.189	-1.088	-5.85
0.205	0.168	0.978	-0.259	0.213	0.597	0.593
0.995	1.0	1.0	0.55	2.422	3.122	5.22
0.97	0.97	0.961	0.587	0.256	-0.069	0.243
0.966	1.0	1.0	0.645	1.374	1.905	4.74
0.928	1.0	1.0	0.587	1.193	1.372	2.12
0.953	0.926	0.671	-0.435	-0.956	-0.952	-5.09
