PrDSM	TraP	SilVA	PhD-SNPg	FATHMM-MKL	CADD	DANN	FATHMM-XF
0.27909398554	0.037	0.017	0.094	0.78043	15.08	0.7446541539929588	0.018655
0.0870228208341	0.081	0.1	0.261	0.07316	0.149	0.4588057187239602	0.004786
0.283492749097	0.009	0.004	0.027	0.83524	4.584	0.3548947565945925	0.006448
0.0171496656092	0.025	0.021	0.003	0.00238	4.258	0.5829994800353964	0.011432
0.305256035725	0.057	0.007	0.496	0.84943	15.68	0.7474924733423489	0.007551
0.230825123533	0.0	0.009	0.869	0.68098	14.95	0.5397825341953951	0.004953
0.31258910439	0.04	0.018	0.021	0.87687	17.43	0.8407409431716178	0.011706
0.061316419803	0.005		0.008	0.11663	2.928	0.6839895096401609	0.011361
0.164761950196	0.048	0.015	0.083	0.42854	18.37	0.9204667254200602	0.03714
0.263395046096	0.008	0.011	0.763	0.7686	11.91	0.7593902178716658	0.030134
0.0460317658507	0.013	0.028	0.01	0.09367	0.065	0.6321042728011216	0.010801
0.0372651869267	0.005	0.01	0.015	0.09425	0.124	0.2979885210522301	0.007923
0.0494645846679	0.117	0.011	0.028	0.01791	0.08	0.4312403399943957	0.005809
0.0389466638334	0.076	0.003	0.024	0.03571	0.181	0.4093595178273258	0.006997
0.0715002047846	0.193	0.007	0.038	0.01229	0.228	0.7240348621404579	0.00609
0.0426261670681	0.078	0.017	0.005	0.03006	0.084	0.5249108823546819	0.008549
0.242427966428	0.016	0.002	0.218	0.70715	14.64	0.839034949418108	0.008068
0.0183849524273	0.013	0.015	0.021	0.02437	3.719	0.7815511088817984	0.005641
0.24782343546	0.008	0.004	0.151	0.72923	12.7	0.6326959790358186	0.009115
0.0362940936238	0.042	0.02	0.069	0.04388	7.722	0.8089015335831473	0.005561
0.0424842149112	0.088	0.011	0.041	0.02594	1.424	0.4118702042236626	0.040382
0.0133258292891	0.02	0.001	0.065	0.01689	0.934	0.712286784660562	0.009642
0.0303437584222	0.077	0.0	0.004	0.01205	0.391	0.574100389334494	0.008074
0.241807105316	0.004	0.098	0.13	0.61654	15.41	0.7652856181134003	0.009361
0.0174460932343	0.023	0.025	0.029	0.00107	0.046	0.6190090222338691	0.00437
0.11174261461	0.094	0.036	0.228	0.20149	5.488	0.995350131803721	0.074593
0.0745743660491	0.013	0.03	0.134	0.1772	8.735	0.747457507254016	0.012924
0.00359241421404	0.001	0.0	0.012	0.00772	0.475	0.499780614407269	0.007558
0.282448180788	0.033	0.004	0.119	0.80813	17.86	0.9219677711784248	0.011909
0.298494043952	0.068	0.0	0.087	0.8255	20.9	0.9792474240560956	0.010343
0.072268072487	0.076	0.025	0.019	0.11259	5.932	0.7519464925203209	0.010176
0.0400360708945	0.042	0.011	0.076	0.06455	7.233	0.5720961594770096	0.013035
0.024830032325	0.006	0.047	0.022	0.01712	0.396	0.6507769470310765	0.007194
0.270250170861	0.183	0.013	0.057	0.61224	16.31	0.8092372056651622	0.006754
0.439310665259	0.204	0.151	0.141	0.95364	14.05	0.8184911361022353	0.031391
0.0375351354128	0.08	0.004	0.009	0.02643	0.134	0.8783437553608227	0.006481
0.0684972148929	0.155	0.002	0.073	0.04649	0.701	0.91976601870098	0.005722
0.115262400374	0.162	0.026	0.305	0.15461	12.3	0.8531074476295804	0.006465
0.0357792146012	0.0	0.059	0.02	0.04337	0.452	0.6672461807538693	0.005428
0.0243876478401	0.002	0.004	0.003	0.06491	0.25	0.2789374667343442	0.00391
0.0186567975077	0.0	0.011	0.012	0.04237	0.069	0.5104080332372661	0.00832
0.0282453300524	0.048	0.006	0.038	0.02843	3.692	0.9018655255457272	0.005552
0.311381118937	0.038	0.012	0.397	0.88154	9.153	0.8046372446467215	0.011705
0.0690713686016	0.087	0.024	0.028	0.09306	13.16	0.5396543640369078	0.012753
0.110309995801	0.108		0.313	0.11172	9.541	0.6419844542977993	0.036121
0.0311868879512	0.025	0.003	0.002	0.06338	5.018	0.759021779667362	0.10225
0.274702299774	0.043	0.001	0.306	0.77805	0.806	0.4050220527489873	0.014947
0.258540165849	0.06	0.016	0.541	0.69684	9.305	0.5468441080245887	0.009581
