dPSIZ	SR-	SR+	FAS6-	FAS6+	MES	dMES	MES+	MES-	MEC-MC?	MEC-CS?	MES-KM?	PESE-	PESE+	PESS-	PESS+
-0.559															
-2.045	0.0667	0.0000	0.0000	0.2500					0.0	0.0	0.0	0.0000	0.0000		
-1.02	0.0000	0.0000	0.0000	0.0000	7.4800	8.0400	-3.6700	8.0400	0.0	1.0	1.0	0.0000	0.0000	0.0000	0.0000
-1.506	0.0476	0.0							0.0	0.0	0.0	0.0000	0.0000		
-1.287	0.0000	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
-1.106	0.0500	0.0	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
0.528															
-2.388	0.0000	0.0000	0.0000	0.0000	7.6400	8.7500		8.7500	0.0	1.0	1.0	0.0000	0.0000		
0.365															
-1.554															
	0.0126	0.0000	0.0000	0.0435	5.4600	1.0300	-1.0300	1.0300	0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
0.418	0.0000	0.0078	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
-2.627	0.0000	0.0000	0.0000	0.0000	2.5900	10.9000		10.9000	0.0	0.0	1.0	0.0000	0.1429		
0.008															
0.193															
-0.409	0.0	0.0	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000		
-2.245															
-1.388	0.0000	0.0000	0.0000	0.0000	8.6800	7.7500	7.7500	4.0100	1.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
0.423															
															
-1.628	0.0588	0.0000	0.0000	0.0000	5.1800	1.4600	1.4600	-1.4600	0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
-0.612															
0.564	0.0000	0.0196	0.0000	0.0000	3.9700	4.9400	4.9400		0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
-0.154															
-1.206	0.0417	0.0000	0.5000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
-1.507	0.0	0.1667	0.0000	0.0000	4.6500	6.1800		6.1800	0.0	1.0	0.0	0.0000	0.0000		
															
-0.59															
0.0	0.0000	0.0000	0.0000	0.0000	2.0400	0.3800		0.3800	0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
-0.477	0.0556	0.0000	0.0000	0.0000	9.7900	2.8600	-2.8600	2.8600	0.0	0.0	1.0	0.0000	0.0000	0.0000	0.0000
0.511															
															
0.015															
-0.667															
-0.125															
-1.934	0.0000	0.0							0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
0.4															
0.134															
0.095															
-2.311	0.0714	0.0714	0.0000	0.0000	4.1400	7.9500	7.9500	4.5500	1.0	1.0	0.0	0.0000	0.2000	0.0000	0.0000
-0.42	0.0076	0.0152	0.0000	0.0000	3.2400	7.7500	7.7500		0.0	1.0	0.0	0.0000	0.0139	0.0000	0.0000
															
1.196															
-1.734	0.0000	0.0714	0.0000	0.0000	6.4300	8.7600	8.7600		0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
0.615	0.0303	0.0	0.0000	0.0000	2.1100	0.2400		0.2400	0.0	1.0	0.0	0.0000	0.0000	0.0000	0.0000
0.104															
-0.354															
0.081															
-0.218	0.0000	0.0385	0.0000	0.0000					0.0	0.0	0.0	0.0556	0.0000	0.0000	0.0000
1.878															
1.07															
	0.0011	0.0000	0.0000	0.0000					0.0	0.0	0.0	0.0000	0.0000	0.0000	0.0000
0.581	0.0000	0.0000	0.0000	0.0000	4.4400	0.5700	0.5700	-0.5700	0.0	0.0	1.0	0.0000	0.0000	0.0000	0.0000
1.853															
0.7															
-1.099															
															
1.383															
